Total,Sport,Age,Height,Weight,Sex,HWbmi
0,Tennis,24,186,83,M,23.99121286
0,Tennis,30,191,90,M,24.67037636
0,Basketball,29,183,79,F,23.58983547
0,Basketball,37,200,95,M,23.75
0,Basketball,27,198,98,M,24.99744924
0,Basketball,25,168,61,F,21.61281179
0,Cycling - Road,25,173,56,F,18.71094925
0,Tennis,24,176,60,F,19.36983471
0,Basketball,34,177,67,F,21.38593635
0,Cycling - Road,28,184,66,M,19.49432892
0,Cycling - Road,24,156,59,F,24.24391847
0,Basketball,25,187,79,F,22.59143813
0,Cycling - Road,25,176,62,M,20.01549587
1,Cycling - Road,27,186,75,M,21.6788068
0,Tennis,29,176,68,F,21.95247934
0,Basketball,26,199,105,M,26.51448196
0,Tennis,31,185,90,M,26.29656684
0,Basketball,32,186,80,F,23.12406059
0,Basketball,26,188,79,F,22.35174287
0,Basketball,25,185,70,F,20.45288532
0,Tennis,20,170,61,F,21.10726644
0,Tennis,30,169,59,F,20.65754
0,Basketball,26,216,110,M,23.57681756
0,Tennis,28,,,M,
0,Tennis,31,184,80,M,23.6294896
0,Cycling - Road,34,180,65,M,20.0617284
0,Basketball,28,206,111,M,26.15703648
0,Basketball,31,178,75,F,23.67125363
0,Cycling - Road,35,191,78,M,21.38099285
0,Basketball,23,180,85,M,26.2345679
0,Tennis,35,195,93,M,24.45759369
0,Tennis,25,,,F,
0,Basketball,24,181,65,F,19.8406642
0,Basketball,24,188,88,F,24.89814396
0,Tennis,19,182,69,F,20.83081753
0,Cycling - Road,39,180,73,M,22.5308642
0,Cycling - Road,21,,,F,
0,Cycling - Road,25,180,67,M,20.67901235
0,Tennis,28,185,77,M,22.49817385
0,Basketball,29,205,96,M,22.84354551
0,Cycling - Road,26,163,50,F,18.81892431
0,Basketball,23,183,79,F,23.58983547
0,Basketball,26,216,116,M,24.86282579
0,Tennis,29,192,75,M,20.34505208
0,Cycling - Road,26,164,54,F,20.07733492
0,Basketball,28,183,75,F,22.39541342
0,Tennis,25,188,84,M,23.76641014
0,Tennis,26,190,82,M,22.71468144
0,Basketball,27,215,122,M,26.39264467
0,Basketball,29,190,85,M,23.54570637
0,Basketball,25,178,75,F,23.67125363
0,Tennis,32,190,79,M,21.88365651
0,Basketball,31,176,85,M,27.44059917
0,Basketball,26,196,89,M,23.16743024
0,Basketball,19,191,82,F,22.47745402
0,Basketball,29,201,90,M,22.27667632
0,Cycling - Road,30,185,68,M,19.86851717
0,Cycling - Road,22,162,58,F,22.10028959
0,Cycling - Road,24,178,70,M,22.09317005
0,Tennis,30,180,79,M,24.38271605
0,Basketball,24,191,90,F,24.67037636
0,Cycling - Road,24,190,78,M,21.6066482
0,Basketball,32,191,80,M,21.92922343
0,Cycling - Road,26,174,67,M,22.12973973
0,Basketball,29,192,82,F,22.24392361
0,Cycling - Road,37,163,50,F,18.81892431
0,Cycling - Road,24,183,70,M,20.90238586
0,Tennis,39,191,87,M,23.84803048
0,Basketball,20,192,88,M,23.87152778
0,Basketball,27,199,94,M,23.73677432
0,Cycling - Road,27,179,61,M,19.03810742
0,Basketball,34,209,98,M,22.43538381
0,Tennis,31,185,79,M,23.082542
0,Tennis,22,178,70,M,22.09317005
0,Basketball,32,202,102,M,24.99754926
0,Cycling - Road,28,,,M,
0,Cycling - Road,24,175,65,F,21.2244898
0,Cycling - Road,38,177,71,M,22.66270867
0,Basketball,25,186,76,F,21.96785756
0,Basketball,26,198,,M,
0,Cycling - Road,31,157,54,F,21.90758246
0,Cycling - Road,23,180,66,M,20.37037037
0,Basketball,24,193,,M,
0,Basketball,31,187,72,F,20.58966513
0,Cycling - Road,21,172,65,M,21.97133586
0,Cycling - Road,33,178,75,M,23.67125363
0,Tennis,39,,,M,
0,Basketball,29,188,85,F,24.04934359
0,Basketball,31,172,60,F,20.2812331
0,Cycling - Road,27,,,M,
0,Cycling - Road,21,176,52,F,16.78719008
0,Cycling - Road,35,174,66,M,21.79944511
0,Tennis,29,176,61,F,19.69266529
0,Basketball,27,183,86,M,25.68007405
0,Basketball,25,190,72,F,19.94459834
0,Tennis,25,170,60,F,20.76124567
0,Tennis,26,173,65,F,21.71806609
0,Tennis,30,172,58,F,19.605192
0,Basketball,27,188,79,F,22.35174287
0,Tennis,30,178,65,F,20.51508648
0,Tennis,28,184,80,M,23.6294896
0,Tennis,32,182,82,M,24.75546432
0,Basketball,24,198,104,F,26.52790532
0,Cycling - Road,22,196,86,M,22.38650562
0,Basketball,31,201,104,M,25.74193708
0,Basketball,24,181,90,F,27.4716889
0,Cycling - Road,23,178,59,F,18.62138619
0,Tennis,22,194,87,M,23.11616537
0,Basketball,35,190,82,M,22.71468144
0,Basketball,32,215,115,M,24.8783126
0,Tennis,32,180,83,M,25.61728395
0,Tennis,21,196,90,M,23.42773844
0,Cycling - Road,32,186,80,M,23.12406059
0,Tennis,38,165,55,F,20.2020202
0,Basketball,38,189,88,M,24.63536855
0,Basketball,29,170,64,F,22.14532872
0,Basketball,25,174,68,F,22.46003435
0,Cycling - Road,27,168,60,M,21.2585034
0,Basketball,26,190,82,M,22.71468144
0,Cycling - Road,27,185,77,M,22.49817385
0,Cycling - Road,32,185,72,M,21.03725347
0,Cycling - Road,33,186,68,M,19.6554515
0,Cycling - Road,27,178,76,M,23.98687034
0,Tennis,30,184,83,M,24.51559546
0,Tennis,26,166,53,F,19.23356075
0,Cycling - Road,25,172,65,M,21.97133586
0,Basketball,31,198,95,M,24.2322212
0,Tennis,26,185,75,M,21.9138057
0,Cycling - Road,31,188,73,M,20.65414215
0,Tennis,35,186,80,M,23.12406059
0,Basketball,28,192,88,M,23.87152778
0,Tennis,25,177,65,F,20.74755019
0,Cycling - Road,22,183,74,M,22.09680791
0,Basketball,25,178,66,F,20.83070319
0,Cycling - Road,27,187,75,M,21.44756785
0,Basketball,28,198,103,M,26.2728293
0,Cycling - Road,28,186,73,M,21.10070528
0,Basketball,24,183,94,F,28.06891815
0,Cycling - Road,30,184,75,M,22.1526465
0,Cycling - Road,25,198,78,M,19.89592899
0,Tennis,32,166,65,F,23.58832922
0,Cycling - Road,32,186,69,M,19.94450225
0,Cycling - Road,23,183,72,M,21.49959688
0,Tennis,26,183,83,M,24.78425752
0,Basketball,32,206,108,M,25.45008955
0,Basketball,30,180,67,F,20.67901235
0,Basketball,27,196,80,M,20.82465639
0,Tennis,28,190,75,M,20.77562327
0,Basketball,22,206,130,M,30.63436705
0,Tennis,25,188,59,F,16.69307379
0,Basketball,23,198,84,M,21.42638506
0,Tennis,24,180,68,F,20.98765432
0,Cycling - Road,30,198,82,M,20.91623304
0,Tennis,27,180,69,M,21.2962963
0,Basketball,29,190,,M,
0,Basketball,31,204,100,M,24.02921953
0,Basketball,27,193,82,F,22.0140138
0,Basketball,28,182,72,F,21.73650525
0,Basketball,31,180,78,F,24.07407407
0,Tennis,30,,,M,
0,Tennis,24,169,61,F,21.3577956
0,Basketball,29,175,72,F,23.51020408
0,Basketball,34,206,113,M,26.62833443
0,Cycling - Road,37,183,72,M,21.49959688
0,Cycling - Road,25,186,85,M,24.56931437
0,Basketball,30,197,98,F,25.25187457
